id,event_id,result
120,3342,виявлено відкриту дверцята
121,5551,пожежа
122,9077,відсутність взлому
123,7794,виявлено відкриті двері
124,4899,проникнення на територію
125,2070,виявлено взлом
126,5108,виявлено відкриту кришку
127,6481,виявлено витік рідини
128,554,виявлено відкриту кришку
129,1066,виявлено витік газу
130,1153,виявлено відкриту люк
131,3045,пожежа
132,1014,виявлено відкриту кришку
133,9599,відсутність взлому
134,9570,пожежа
135,1287,проникнення на об'єкт
136,7449,відсутність взлому
137,398,виявлено витік палива
138,1862,проникнення
139,4309,виявлено підпал
140,8910,проникнення
141,5192,пожежа
142,1688,виявлено відкриті двері
143,6844,виявлено взлом
144,5118,виявлено відкриті двері
145,2427,крадіжка
146,2967,проникнення в приміщення
147,2718,виявлено відкритий люк
148,6193,виявлено витік рідини
149,9389,виявлено взлом
150,8341,виявлено відкриту кришку
151,2375,відсутність взлому
152,6719,виявлено відкриту люк
153,7107,відсутність взлому
154,5217,проникнення в приміщення
155,3006,виявлено підпал
156,1909,виявлено відкриті двері
157,831,виявлено відкриту дверцята
158,356,виявлено підпал
159,5675,виявлено витік рідини
160,1054,виявлено витік палива
161,5428,виявлено витік газу
162,4878,проникнення
163,7719,виявлено підпал
164,860,виявлено підпал
165,2663,виявлено витік палива
166,2349,виявлено відкриту кришку
167,8503,відсутність взлому
168,3825,проникнення
169,1596,виявлено витік газу
170,9827,відсутність взлому
171,8810,виявлено відкриті двері
172,4291,виявлено взлом
173,1485,виявлено відкриту дверцята
174,8160,виявлено витік палива
175,7509,виявлено відкритий люк
176,9547,крадіжка
177,6435,виявлено витік газу
178,5677,виявлено витік води
179,7870,виявлено витік рідини
180,1233,відсутність взлому
181,9984,пожежа
182,1843,виявлено витік палива
183,472,виявлено відкриту дверцята
184,4737,виявлено відкриту дверцята
185,7595,виявлено відкриту люк
186,4976,виявлено відкритий люк
187,5227,виявлено відкриту дверцята
188,7436,виявлено відкриту кришку
189,5756,пожежа
190,604,проникнення на об'єкт
191,8983,відсутність взлому
192,404,проникнення на територію
193,6013,проникнення на об'єкт
194,794,пожежа
195,6493,виявлено витік рідини
196,2768,проникнення
197,5170,виявлено відкритий люк
198,4910,проникнення на територію
199,4072,проникнення на об'єкт
200,1527,виявлено витік води
201,1642,виявлено відкриту кришку
202,7328,виявлено відкритий люк
203,3312,проникнення на об'єкт
204,4732,крадіжка
205,4905,виявлено відкритий люк
206,7759,виявлено відкриту кришку
207,5705,крадіжка
208,700,виявлено витік газу
209,9047,виявлено підпал
210,9598,виявлено відкриту кришку
211,2533,виявлено витік палива
212,2548,виявлено відкритий люк
213,3442,виявлено відкриту кришку
214,51,проникнення в приміщення
215,7590,відсутність взлому
216,5623,виявлено відкритий люк
217,543,виявлено взлом
218,3448,проникнення на об'єкт
219,3824,відсутність взлому
220,1954,проникнення на територію
221,964,виявлено відкриту люк
222,630,виявлено витік рідини
223,7693,виявлено підпал
224,1211,виявлено підпал
225,4647,пожежа
226,1766,проникнення в приміщення
227,1782,виявлено відкриті двері
228,1495,виявлено відкриту люк
229,8392,виявлено відкриті двері
230,514,виявлено відкриту люк
231,5009,виявлено витік води
232,5277,виявлено витік газу
233,6824,виявлено відкриту дверцята
234,2745,відсутність взлому
235,4301,виявлено витік палива
236,4175,виявлено витік води
237,1809,виявлено відкриту дверцята
238,4867,виявлено витік води
239,4769,відсутність взлому
240,3016,проникнення на територію
241,5790,крадіжка
242,3652,виявлено підпал
243,9578,відсутність взлому
244,8161,виявлено взлом
245,9245,пожежа
246,5153,виявлено витік рідини
247,5914,крадіжка
248,8522,виявлено витік палива
249,1398,виявлено підпал
250,2708,виявлено витік води
251,1135,виявлено витік води
252,9929,виявлено взлом
253,6851,виявлено відкрите вікно
254,7609,виявлено витік палива
255,2536,виявлено витік води
256,1817,виявлено витік газу
257,5804,виявлено взлом
258,9870,проникнення
259,2458,виявлено відкрите вікно
260,1397,виявлено відкритий люк
261,5943,відсутність взлому
262,8569,виявлено відкрите вікно
263,1235,виявлено відкритий люк
264,6179,виявлено відкриту люк
265,4353,крадіжка
266,1839,виявлено відкритий люк
267,3058,проникнення
268,961,виявлено витік газу
269,9243,виявлено підпал
270,3333,проникнення на територію
271,3306,проникнення в приміщення
272,4360,виявлено відкритий люк
273,3226,виявлено витік рідини
274,7740,виявлено відкрите вікно
275,6737,проникнення на територію
276,1082,виявлено підпал
277,5049,пожежа
278,5318,виявлено підпал
279,39,виявлено відкриту дверцята
280,4237,проникнення на територію
281,2928,виявлено витік води
282,5159,виявлено відкриті двері
283,3239,виявлено відкриті двері
284,9417,виявлено відкриту кришку
285,6130,виявлено відкриті двері
286,1901,виявлено витік палива
287,9525,крадіжка
288,4281,виявлено відкрите вікно
289,6133,виявлено взлом
290,8320,виявлено витік газу
291,4956,пожежа
292,3107,виявлено взлом
293,6722,крадіжка
294,9249,виявлено витік палива
295,8675,пожежа
296,1635,виявлено відкрите вікно
297,2485,виявлено відкрите вікно
298,4735,виявлено відкрите вікно
299,498,проникнення на територію
300,849,крадіжка
301,561,крадіжка
302,487,проникнення на об'єкт
303,2471,виявлено витік рідини
304,6278,виявлено підпал
305,9045,виявлено витік води
306,3564,виявлено витік газу
307,5642,виявлено відкриту кришку
308,3731,виявлено витік води
309,5622,виявлено відкрите вікно
310,8330,виявлено відкриту дверцята
311,475,виявлено відкриту кришку
312,1427,виявлено відкриту кришку
313,514,пожежа
314,163,виявлено відкриті двері
315,9829,виявлено витік рідини
316,5889,виявлено витік води
317,7992,пожежа
318,1006,проникнення на об'єкт
319,5199,проникнення в приміщення
320,9451,виявлено витік рідини
321,5995,виявлено витік газу
322,8355,виявлено відкриту люк
323,5690,проникнення на об'єкт
324,8271,виявлено витік газу
325,5397,виявлено витік води
326,3993,проникнення в приміщення
327,6410,виявлено відкриту дверцята
328,8883,проникнення на територію
329,6780,виявлено відкриту дверцята
330,1055,виявлено відкриті двері
331,2319,виявлено витік рідини
332,4976,виявлено відкритий люк
333,7900,виявлено витік рідини
334,4322,виявлено відкриту кришку
335,7149,виявлено відкрите вікно
336,884,виявлено взлом
337,82,виявлено відкриту дверцята
338,1023,виявлено витік рідини
339,7817,виявлено відкриту люк
340,4919,проникнення в приміщення
341,6298,пожежа
342,4914,крадіжка
343,2448,виявлено витік газу
344,2020,виявлено підпал
345,6428,виявлено витік газу
346,6470,виявлено витік води
347,533,проникнення на територію
348,4565,проникнення в приміщення
349,9578,проникнення в приміщення
350,8638,пожежа
351,6787,крадіжка
352,6457,пожежа
353,8151,виявлено відкриту кришку
354,4696,відсутність взлому
355,3313,виявлено витік газу
356,7326,виявлено підпал
357,795,проникнення
358,826,проникнення на територію
359,8156,виявлено взлом
360,4482,виявлено витік води
361,2384,виявлено витік газу
362,4158,проникнення в приміщення
363,6404,виявлено відкритий люк
364,7160,виявлено відкриті двері
365,491,проникнення в приміщення
366,6919,виявлено витік води
367,5594,виявлено витік палива
368,6780,проникнення
369,1253,виявлено відкриті двері
370,5511,виявлено відкриті двері
371,1858,виявлено витік палива
372,4190,виявлено витік палива
373,4122,відсутність взлому
374,9090,виявлено витік палива
375,6236,крадіжка
376,62,виявлено витік рідини
377,3293,виявлено відкритий люк
378,9131,виявлено відкритий люк
379,9440,пожежа
380,5521,відсутність взлому
381,3853,виявлено відкриту люк
382,7627,крадіжка
383,4853,проникнення на територію
384,4237,виявлено підпал
385,8182,пожежа
386,549,відсутність взлому
387,9080,виявлено відкриту люк
388,2976,виявлено взлом
389,4056,пожежа
390,5529,виявлено відкриті двері
391,8027,відсутність взлому
392,4611,виявлено відкриту кришку
393,8020,проникнення на територію
394,4564,виявлено відкриті двері
395,6949,виявлено відкритий люк
396,1323,проникнення
397,4004,пожежа
398,4825,проникнення на територію
399,9648,крадіжка
400,3364,виявлено відкриту кришку
401,1622,виявлено відкриту кришку
402,5767,виявлено підпал
403,9293,проникнення
404,5880,проникнення на об'єкт
405,6335,виявлено відкриту кришку
406,8516,виявлено підпал
407,1862,виявлено підпал
408,8772,виявлено підпал
409,9254,пожежа
410,8654,проникнення на територію
411,6139,проникнення на територію
412,2440,пожежа
413,9053,виявлено відкритий люк
414,7422,виявлено взлом
415,3475,проникнення на об'єкт
416,7034,виявлено витік газу
417,9498,виявлено відкриту дверцята
418,2894,відсутність взлому
419,6590,проникнення в приміщення
420,7424,виявлено взлом
421,1098,проникнення на територію
422,9375,виявлено відкриті двері
423,5223,проникнення в приміщення
424,5536,проникнення на об'єкт
425,7153,виявлено відкриті двері
426,4714,виявлено витік газу
427,6442,виявлено підпал
428,8652,проникнення на територію
429,3298,відсутність взлому
430,1525,виявлено відкриту люк
431,2695,виявлено відкритий люк
432,5368,виявлено взлом
433,6039,виявлено витік рідини
434,6944,виявлено витік рідини
435,2087,виявлено відкриту люк
436,1926,проникнення в приміщення
437,8354,проникнення в приміщення
438,45,проникнення на територію
439,276,виявлено витік газу
440,9290,виявлено відкрите вікно
441,1484,пожежа
442,3384,виявлено відкритий люк
443,27,виявлено підпал
444,19,проникнення
445,2967,виявлено витік води
446,6072,пожежа
447,6649,виявлено відкриту кришку
448,6054,проникнення на територію
449,7226,виявлено витік рідини
450,6485,виявлено витік газу
451,4937,проникнення в приміщення
452,2913,проникнення на територію
453,7616,виявлено відкриті двері
454,2761,виявлено витік палива
455,6682,виявлено витік рідини
456,7387,крадіжка
457,872,виявлено відкриту дверцята
458,620,виявлено відкриту люк
459,3839,виявлено відкриту кришку
460,6489,виявлено відкрите вікно
461,4168,виявлено витік палива
462,9879,проникнення на об'єкт
463,394,виявлено витік газу
464,185,проникнення на об'єкт
465,203,виявлено підпал
466,924,виявлено відкриті двері
467,7133,виявлено відкритий люк
468,4667,пожежа
469,9649,виявлено витік газу
470,8264,виявлено витік газу
471,7084,виявлено витік води
472,8556,виявлено відкриту кришку
473,9050,крадіжка
474,6753,виявлено витік газу
475,7199,відсутність взлому
476,1226,проникнення на територію
477,5951,проникнення на об'єкт
478,5854,крадіжка
479,109,виявлено відкриту дверцята
480,6294,проникнення
481,3155,виявлено підпал
482,2301,виявлено відкриту люк
483,2925,проникнення
484,6215,виявлено витік палива
485,5731,виявлено відкриту кришку
486,16,пожежа
487,8152,виявлено витік палива
488,3079,крадіжка
489,3961,виявлено відкрите вікно
490,9161,виявлено відкрите вікно
491,8997,виявлено відкрите вікно
492,5396,проникнення на об'єкт
493,8087,проникнення на об'єкт
494,8011,виявлено витік води
495,2573,пожежа
496,6661,проникнення на об'єкт
497,3013,виявлено витік рідини
498,1925,виявлено відкриту кришку
499,9760,виявлено витік рідини
500,4486,виявлено відкритий люк
501,7545,виявлено взлом
502,3666,крадіжка
503,154,проникнення на територію
504,4659,виявлено відкриту кришку
505,3505,крадіжка
506,5203,виявлено відкриту люк
507,9340,крадіжка
508,1062,проникнення
509,6690,відсутність взлому
510,9343,виявлено витік рідини
511,7598,крадіжка
512,6820,проникнення на територію
513,7526,виявлено витік рідини
514,2108,відсутність взлому
515,2855,виявлено відкриті двері
516,4253,виявлено відкритий люк
517,8462,виявлено підпал
518,3992,виявлено витік палива
519,7631,виявлено відкрите вікно
520,2292,виявлено взлом
521,9756,виявлено відкриту кришку
522,7343,крадіжка
523,1336,проникнення
524,5673,виявлено відкриті двері
525,2922,проникнення
526,340,виявлено відкриті двері
527,7786,виявлено витік газу
528,7595,проникнення на об'єкт
529,9130,проникнення на об'єкт
530,2786,виявлено відкрите вікно
531,4813,крадіжка
532,4263,виявлено витік води
533,2574,крадіжка
534,1711,виявлено витік води
535,5765,пожежа
536,4388,виявлено підпал
537,8030,відсутність взлому
538,2116,відсутність взлому
539,5938,крадіжка
540,4422,виявлено витік палива
541,3893,проникнення
542,6070,виявлено відкрите вікно
543,4025,пожежа
544,139,виявлено витік палива
545,6078,виявлено витік рідини
546,5967,проникнення в приміщення
547,6663,пожежа
548,8156,виявлено відкрите вікно
549,9653,проникнення на територію
550,1603,виявлено відкриту кришку
551,9513,виявлено відкриті двері
552,1090,проникнення
553,7617,проникнення на об'єкт
554,8040,виявлено відкриті двері
555,7815,виявлено відкриту кришку
556,6883,виявлено витік рідини
557,4443,крадіжка
558,5933,виявлено підпал
559,2675,проникнення на територію
560,9580,виявлено відкриту люк
561,5551,виявлено витік рідини
562,3052,проникнення в приміщення
563,2822,відсутність взлому
564,7716,виявлено витік газу
565,6175,виявлено витік води
566,4262,виявлено взлом
567,8762,виявлено відкриту люк
568,5341,пожежа
569,2238,проникнення на територію
570,8791,проникнення в приміщення
571,7272,проникнення в приміщення
572,6649,виявлено витік газу
573,5919,крадіжка
574,2963,відсутність взлому
575,7844,виявлено витік газу
576,2815,виявлено взлом
577,1259,проникнення
578,4074,крадіжка
579,9915,крадіжка
580,9580,виявлено підпал
581,5592,виявлено відкриту дверцята
582,9896,виявлено підпал
583,1883,виявлено витік газу
584,7336,проникнення
585,3243,виявлено відкрите вікно
586,3795,виявлено витік рідини
587,5658,відсутність взлому
588,8726,виявлено витік палива
589,8998,виявлено витік рідини
590,3852,виявлено витік рідини
591,191,виявлено підпал
592,3604,виявлено відкриті двері
593,9588,проникнення на територію
594,7121,виявлено відкриту дверцята
595,9199,крадіжка
596,8475,пожежа
597,5565,проникнення на територію
598,5582,виявлено відкрите вікно
599,3318,крадіжка
600,4588,пожежа
601,7181,виявлено витік рідини
602,225,пожежа
603,3518,виявлено відкриту кришку
604,7455,виявлено відкритий люк
605,6355,відсутність взлому
606,190,виявлено відкриту дверцята
607,5991,виявлено витік води
608,8098,пожежа
609,1779,виявлено відкриту кришку
610,5644,виявлено відкриту люк
611,5430,крадіжка
612,7375,виявлено витік рідини
613,2393,крадіжка
614,7193,виявлено відкриту дверцята
615,3745,виявлено відкриту люк
616,3097,виявлено відкриту кришку
617,1146,виявлено відкритий люк
618,9346,виявлено відкриту кришку
619,9371,проникнення в приміщення
620,4402,крадіжка
621,3966,пожежа
622,7050,відсутність взлому
623,5977,виявлено відкритий люк
624,7148,виявлено витік палива
625,4473,виявлено відкриту кришку
626,2333,виявлено витік газу
627,7193,проникнення в приміщення
628,7175,виявлено взлом
629,5499,виявлено відкрите вікно
630,2144,виявлено відкриту кришку
631,3631,виявлено відкриту кришку
632,5308,виявлено відкрите вікно
633,8429,проникнення в приміщення
634,9872,відсутність взлому
635,1695,виявлено відкриту дверцята
636,8806,виявлено підпал
637,6260,виявлено відкриту кришку
638,8249,відсутність взлому
639,5732,виявлено підпал
640,4643,крадіжка
641,3378,виявлено відкриті двері
642,4729,пожежа
643,8179,проникнення
644,7484,виявлено підпал
645,7477,виявлено витік води
646,5777,виявлено підпал
647,7340,виявлено витік рідини
648,9540,проникнення на територію
649,6420,відсутність взлому
650,5403,виявлено витік палива
651,1972,виявлено витік рідини
652,7584,виявлено витік води
653,3501,відсутність взлому
654,413,виявлено відкриті двері
655,2450,виявлено відкриту дверцята
656,8363,виявлено підпал
657,6862,виявлено взлом
658,9350,виявлено витік рідини
659,3219,виявлено відкриту кришку
660,5113,проникнення на територію
661,7936,крадіжка
662,925,крадіжка
663,456,виявлено витік рідини
664,5781,виявлено відкритий люк
665,2674,виявлено витік газу
666,4525,виявлено підпал
667,8453,виявлено відкрите вікно
668,9432,крадіжка
669,5888,виявлено відкриті двері
670,8937,проникнення
671,3210,виявлено витік води
672,531,виявлено відкрите вікно
673,4955,виявлено витік води
674,9703,проникнення на об'єкт
675,5356,виявлено витік рідини
676,47,виявлено відкриту кришку
677,7939,виявлено відкриті двері
678,6656,виявлено відкрите вікно
679,8120,виявлено відкритий люк
680,2799,проникнення в приміщення
681,6925,пожежа
682,5055,відсутність взлому
683,9347,виявлено відкриту кришку
684,9498,виявлено витік палива
685,5413,виявлено відкриті двері
686,31,проникнення в приміщення
687,3752,виявлено витік рідини
688,9243,пожежа
689,2931,виявлено витік палива
690,1898,виявлено відкрите вікно
691,4352,виявлено взлом
692,4406,проникнення в приміщення
693,7947,виявлено витік газу
694,7661,виявлено відкриту люк
695,7081,виявлено витік рідини
696,892,проникнення на об'єкт
697,3249,виявлено відкриту люк
698,9707,виявлено відкрите вікно
699,4311,виявлено витік газу
700,9983,виявлено витік газу
701,2882,виявлено витік води
702,9940,виявлено витік води
703,1731,виявлено відкриту кришку
704,3023,виявлено відкритий люк
705,4001,виявлено витік газу
706,1375,виявлено відкриту люк
707,5491,виявлено взлом
708,2660,проникнення в приміщення
709,9261,виявлено витік газу
710,6259,проникнення в приміщення
711,8747,виявлено відкриту кришку
712,2072,виявлено витік газу
713,923,проникнення на територію
714,7833,проникнення на об'єкт
715,6492,виявлено відкриту кришку
716,8663,виявлено відкриту дверцята
717,4957,виявлено витік води
718,5691,проникнення на об'єкт
719,3926,виявлено відкриту люк
720,5331,виявлено відкритий люк
721,8487,виявлено відкриту дверцята
722,7244,виявлено витік рідини
723,9377,відсутність взлому
724,3371,виявлено відкриту кришку
725,906,пожежа
726,6464,проникнення на об'єкт
727,6829,виявлено відкритий люк
728,3008,виявлено відкрите вікно
729,5575,виявлено витік газу
730,8993,виявлено витік палива
731,4281,відсутність взлому
732,4437,проникнення в приміщення
733,3364,виявлено витік газу
734,5237,пожежа
735,7910,крадіжка
736,5024,проникнення
737,3367,виявлено витік палива
738,100,виявлено взлом
739,2656,проникнення
740,5429,проникнення
741,7726,проникнення на територію
742,1514,виявлено підпал
743,418,пожежа
744,4971,виявлено витік газу
745,1938,пожежа
746,6947,проникнення на територію
747,2366,виявлено витік рідини
748,7465,пожежа
749,472,виявлено відкриту кришку
750,1868,виявлено відкриті двері
751,9831,відсутність взлому
752,9424,виявлено витік газу
753,2087,проникнення на територію
754,9887,проникнення на об'єкт
755,483,виявлено витік палива
756,5075,виявлено витік палива
757,8708,відсутність взлому
758,8000,виявлено відкриту дверцята
759,3045,виявлено витік води
760,7860,виявлено відкриту кришку
761,3507,виявлено підпал
762,6081,відсутність взлому
763,8733,виявлено відкриту люк
764,5009,пожежа
765,6948,виявлено відкрите вікно
766,7808,виявлено відкрите вікно
767,1910,виявлено відкрите вікно
768,3989,виявлено відкритий люк
769,8675,виявлено витік газу
770,3691,відсутність взлому
771,6633,виявлено відкриту кришку
772,2312,виявлено витік палива
773,3839,проникнення на територію
774,488,виявлено відкрите вікно
775,3220,крадіжка
776,1962,пожежа
777,1629,виявлено відкриту кришку
778,4666,пожежа
779,5312,виявлено відкриту люк
780,5102,виявлено витік газу
781,7765,виявлено відкрите вікно
782,8620,виявлено витік палива
783,1102,виявлено витік рідини
784,4745,виявлено відкритий люк
785,2313,виявлено витік палива
786,790,виявлено відкриту люк
787,3417,виявлено витік рідини
788,1644,виявлено відкриту люк
789,3653,виявлено відкрите вікно
790,4260,проникнення в приміщення
791,5173,виявлено відкритий люк
792,3289,виявлено взлом
793,3489,виявлено відкриту дверцята
794,7235,виявлено відкриту кришку
795,6853,виявлено взлом
796,9101,крадіжка
797,8271,проникнення на територію
798,9362,проникнення
799,5323,виявлено витік води
800,6406,виявлено відкриту кришку
801,4788,проникнення
802,4773,виявлено відкриту кришку
803,7068,виявлено відкриту дверцята
804,2691,проникнення в приміщення
805,7188,виявлено взлом
806,4106,виявлено взлом
807,4962,пожежа
808,3228,пожежа
809,7322,виявлено відкриту кришку
810,1811,виявлено витік рідини
811,4973,виявлено відкриту кришку
812,7226,виявлено відкриту кришку
813,6612,проникнення
814,6205,виявлено витік води
815,3536,виявлено взлом
816,4720,виявлено витік палива
817,7947,виявлено відкритий люк
818,3916,проникнення на територію
819,9763,виявлено підпал
820,6051,проникнення на територію
821,855,виявлено відкриту дверцята
822,5623,виявлено відкриту дверцята
823,7860,проникнення на територію
824,5693,виявлено взлом
825,8054,виявлено витік палива
826,9433,проникнення на територію
827,9048,виявлено відкриту кришку
828,8419,проникнення
829,7566,виявлено відкриті двері
830,4879,виявлено взлом
831,953,виявлено витік палива
832,6265,виявлено відкриту кришку
833,3172,пожежа
834,8100,проникнення
835,5610,проникнення на територію
836,7466,виявлено відкриті двері
837,9259,проникнення на об'єкт
838,677,виявлено витік палива
839,2714,проникнення в приміщення
840,2651,виявлено взлом
841,765,виявлено відкриту люк
842,8555,виявлено відкриті двері
843,4982,виявлено відкриту люк
844,2390,виявлено витік води
845,492,відсутність взлому
846,5572,виявлено відкриту люк
847,1087,виявлено підпал
848,9737,проникнення
849,7657,виявлено витік газу
850,8382,виявлено підпал
851,2415,виявлено відкриту дверцята
852,135,виявлено підпал
853,8621,виявлено відкриту люк
854,8177,виявлено витік газу
855,8908,виявлено відкриті двері
856,9323,проникнення на об'єкт
857,6834,виявлено витік палива
858,6928,відсутність взлому
859,5508,виявлено витік палива
860,7284,виявлено взлом
861,9567,виявлено відкрите вікно
862,9099,виявлено відкритий люк
863,9220,виявлено витік газу
864,659,пожежа
865,1819,виявлено відкриту кришку
866,9567,проникнення на об'єкт
867,5266,виявлено відкрите вікно
868,1972,виявлено витік газу
869,700,виявлено відкриті двері
870,3761,виявлено взлом
871,4045,виявлено витік газу
872,3751,проникнення на об'єкт
873,2486,виявлено відкриту кришку
874,6403,проникнення на територію
875,1634,виявлено підпал
876,7201,виявлено відкритий люк
877,5235,проникнення
878,1325,крадіжка
879,4191,виявлено витік рідини
880,5762,виявлено взлом
881,1190,виявлено відкриті двері
882,6446,виявлено витік рідини
883,5844,виявлено відкриті двері
884,9583,виявлено відкриту люк
885,6469,виявлено відкритий люк
886,2455,виявлено відкриту дверцята
887,1167,виявлено відкриту дверцята
888,2986,виявлено витік води
889,7249,відсутність взлому
890,2316,пожежа
891,5192,виявлено витік рідини
892,7782,виявлено витік рідини
893,2480,виявлено відкриті двері
894,9926,виявлено відкритий люк
895,2558,проникнення на об'єкт
896,1212,виявлено взлом
897,1631,виявлено витік води
898,853,виявлено витік води
899,3799,виявлено відкриті двері
900,1922,проникнення в приміщення
901,8863,проникнення в приміщення
902,2769,виявлено витік палива
903,1941,проникнення в приміщення
904,834,проникнення на об'єкт
905,1673,виявлено відкриті двері
906,5031,проникнення на об'єкт
907,1718,проникнення на об'єкт
908,9924,проникнення
909,5903,виявлено підпал
910,8990,виявлено витік води
911,4063,виявлено відкриту дверцята
912,8520,виявлено відкриту люк
913,2149,виявлено взлом
914,2815,виявлено підпал
915,9741,відсутність взлому
916,2965,виявлено підпал
917,9947,виявлено відкриту кришку
918,6461,виявлено взлом
919,3093,проникнення в приміщення
920,7362,виявлено відкрите вікно
921,7976,виявлено відкриті двері
922,6864,проникнення в приміщення
923,4700,проникнення на територію
924,4188,виявлено витік газу
925,1000,виявлено витік води
926,2097,пожежа
927,3364,проникнення на територію
928,4911,виявлено відкритий люк
929,8004,виявлено відкриті двері
930,7503,відсутність взлому
931,6570,відсутність взлому
932,3407,крадіжка
933,2624,проникнення в приміщення
934,2395,проникнення на об'єкт
935,3914,виявлено відкриту кришку
936,2066,виявлено витік палива
937,920,виявлено відкриту люк
938,4420,проникнення
939,6330,виявлено відкриту дверцята
940,1351,проникнення на об'єкт
941,5128,виявлено витік води
942,3693,виявлено витік води
943,2534,виявлено відкриту люк
944,4542,виявлено витік рідини
945,7000,виявлено взлом
946,6890,пожежа
947,4737,виявлено витік газу
948,4260,виявлено відкриту дверцята
949,8727,виявлено витік рідини
950,8124,пожежа
951,9438,пожежа
952,9862,виявлено витік газу
953,850,виявлено витік рідини
954,7758,виявлено витік рідини
955,4804,виявлено витік газу
956,4116,виявлено витік палива
957,2571,виявлено витік рідини
958,3631,виявлено витік палива
959,9235,виявлено взлом
960,6722,виявлено витік палива
961,3997,виявлено відкрите вікно
962,9224,проникнення на територію
963,5035,виявлено підпал
