id,longitude,latitude,street,building_number,description
38,-105.625871,-66.0275115,Бугаївська,51,Зима жорстокий кора розстебнути серйозний образа світило що. Ягода підкинути гіркий черговий. Нині ягода правління простір. Тривога дружно кидати виражений командир.
39,-98.199496,64.025630,Павла Клепацького,04,Кут жорстокий результат дальній ліхтарик аж. Вираз функція тьмяний палиця затримати спасти.
40,-99.423479,58.7495375,Максима Чайки,7,Степ даль функція солома сонце подвірʼя. Розгубитися наполегливо вивчити район ручка вчений.
41,138.187397,-38.096739,Крушельницької,58,"Зловити мати сходити навряд темніти бігати зате. Ремінь сумний летіти за.
Світило скинути встати мати. Падаль підлога брову коваль услати збільшуватися."
42,122.725836,38.386184,Лазурний 1-й,53,Процес ремінь танцювати господь результат кора оборот. Спалити застосовуватися порт командування. Полум'Я палата інструкція поява. Порівняння брову присісти художній секунда.
43,-66.030914,-34.465098,Адміральський,45,Бригада розкішний ліворуч. Правильний міра картинка новий набір п'ятеро. Порада дрімати аналіз.
44,159.636407,-49.635677,Флотський 1-й,7,Палець спорт вмирати вскакивать військовий прихований образа. МʼЯта число відповісти. Виражений заклад деякий мить.
45,-144.930034,22.4300185,Аеропортівська,919,Увійти простір виблискувати решітка. Покоління міркування поставити наступати господь темніти неправда. Жорстокий плід вказаний знищення присісти яблуко.
46,49.032469,29.0020095,Ювілейний 2-й,672,Пастух ланцюжок мільярд. Коробка болото полюбити недолік. Прощення єврейський космос місце.
47,-52.751375,85.4268615,Восьмого березня 6-й,802,"Адвокат пісенька так натиснути. Низький угодний подробиця обуритися. Що пані пристрій.
Поява здалеку навряд вчений летіти збільшуватися. Вчора обуритися наполегливо конструкція мʼята написати."
48,164.063670,-26.254794,Ананьївська,611,Зображати гіркий дружно картинка наштовхнутися безглуздий. Падаль упустити болісно запустити приятель. Запустити ніж бетонний коричневий розстебнути.
49,122.796102,84.1087125,Володимира Вінниченка,8,Бажання лівий пастух уникати.
50,-30.858117,-34.856423,Середня,049,Вигнати ламати пропаганда кордон. Рис порт трясти легко рот банк гіркий гіркий. Угодний чотири залучати а.
51,58.159042,-68.705360,Карантинна,9,Синок заява розводити висіти пристрій сонце серйозний. Природний військовий ставити червʼяк робочий метал. Щур епоха сміття кишеня потягнутися.
52,-83.138879,-50.8313935,Східний,0,Академік прихований конструкція заклад склянка. Виражений єврейський програміст. Радити недолік коричневий рота спорт зупинити медицина потім.
53,-149.422840,-20.4960755,Шахтинський,574,"Похмуро палата темніти пробувати червень обуритися актриса. Чотири шкарпетка дихання деякий природний коробка армійський.
Обуритися блін оборот результат червонй салон. Відповісти протягувати гроші."
54,175.628280,46.1966985,Шостої 1-й,8,"Упор порт камінчик кпсс низький робочий ніж. Провінція бетонний залучати.
Пастух дорогий простір шкіра. Упустити ленінград ручка близько видимо. Благати перед термін редактор."
55,-104.187125,-85.2932825,Проектна 1-ша,8,"Щось що ягода наполегливо протягувати промовчати. Бочок розводити висіти. Дихання спосіб наполегливо бочок збільшуватися світило робочий.
Покинути більше вовк. Гіркий поїзд мотоцикл термін."
56,-48.221290,-16.5244085,Український 1-й,4,"Монета гіркий збудження низький термін.
Коваль задерти пропадати. Прірва щур природа соціалістичний приятель."
57,131.774323,75.220092,Яна Длугоша,05,"Сміття так правий ягода. Бок уточнити що-небудь темніти трубка вигнати мить.
Вперед рідкий потягнутися через. Пристойний незвичний дрібниця звільнити бочок. Польовий здригатися підземний."
58,-157.312389,-61.6177365,Савранська,43,Плавно сумний ґазда ліловий промовчати гроші рідкий. Дрімати близько сходити пити дихання зловити. Трубка рис намір прелесть теорія палата заборонити кільце.
59,41.345722,27.7113045,Виставочна,88,"Прихований уточнити звільнити незручно. Колектив порада епоха художній.
Хлопець уникати перетнути зміна хід конструкція. Космос різноманітний хотіти природа яблуко процес перетнути."
60,-155.952936,73.044384,Обільний 2-й,8,Покинути диявол м'який коробка гіркий виникнення кільце. Господь блін хотіти поставити пані бігати. Триста лягати космос пропадати.
61,170.030657,53.4622535,Світанку,225,Страта нестерпний мить пропаганда. Покидати прем'єра бочок каюта валюта роса.
62,-42.350387,68.923847,Олександра Кошиця,24,Метал хата міра єдиний а витягувати. Звільнити лівий іспит підкинути зміна похмуро ліхтарик. Натиснути виблискувати очко порада.
63,45.932623,52.550940,Листяний,2,"Мить заспівати бігати що шолом художній присвятити. Штаб ремінь прем'єра командир.
Військовий приятель незвичайний процес збудження. Мить ніч діловий. Матерія самостійно райком."
64,114.700493,-20.3307245,Чорноморського козацтва,64,"Зрідка рис неправда бігати. ЧервʼЯк танцювати бочок. Пристойний вітати дрімати.
Заклад підлога труп підлога."
65,-166.719203,41.012953,Олександра Мурашка,51,"Синок хата кільце що-небудь занадто. Радість шолом польовий забирати очко.
Закласти комунізм заклад доба командир витримати нині."
66,75.077133,-60.371412,Назарівська,584,"Труп зелений незвичний похмуро занадто від'їзд. Вибирати неправда діловий плід. Порт грати крутий.
Звільнити сміття що."
67,42.205084,62.487145,Десятого квітня,51,Приходити струмок палиця чоловічок вчора. Нервово місце груди зрозумілий постійний діставати полум'я. Вигнати досліджено почуття.
68,-143.232238,28.108053,Мазепи Івана,77,"Багаття низький ленінград колишній армійський. Затягнутися рота інвалід фахівець.
Ковзати вперед космос. Інший казна-хто розвернутися рот паща. Єдиний ідея вітати заспокоїтися оборот."
69,137.133283,30.155616,Поперечний,3,Близько палата обуритися розуміти. О коричневий правильний. Реклама вираз команда командування.
70,-95.631476,53.540036,Глухий міст,677,"Порада постійний витримати прем'єра. Надати отже оборот розводити набір мета.
Угодний в'язниця монета. Поставити підземний матерія здригнутися. Дружно о будівництво заспівати."
71,-170.061143,24.035263,Відважних,395,"Кидати розводити зарплата упор світило уникати порода.
Головка мигнути каюта уникати витримати. Їжа нестерпний диявол темніти рідкий мотоцикл число."
72,-32.083281,-42.3478165,Прохоровський,15,"ПодвірʼЯ дрібниця зрідка видимо підлога деякий коробка. Темніти купа-невеличка неправда й. П'Ятеро світило занадто космос.
Плід робочий зміна інвалід сумний рис."
73,-132.206631,78.539793,Флотська,6,Актриса інтернет збільшуватися вперед шкіра заклик свіжий. Потрясти комунізм ланцюжок незвичний. Функція настати військовий означати інструкція.
74,172.658836,46.287126,Матроський узвіз,25,Натиснути каюта дихання приходити світило. Вмирати закласти гроші здригатися перетнути. Адже зображати реклама в'язниця.
75,-44.397129,-68.9760845,Василя Капніста,70,Зарплата решітка пропадати єврейський аж нарада мʼята. Навряд благати несподіваний ліловий білизна їсти.
76,-21.264236,-84.5829125,Басейний 4-й,373,"Важкий прем'єра мати здригатися.
Конференція уточнити плавно. Здалеку летіти звільнити армійський забирати райком мати пропаганда. Гроші бочок процес черговий солома. Обуритися навіщо палиця."
77,166.290860,-86.9642165,Хімічний 2-й,31,Армійський пробувати солома мить. Присвятити крутий струмок хлопчисько присвятити. Від'Їзд обуритися вперед о термін від'їзд промовчати.
78,-66.045254,10.1151155,Дачний 2-й,21,Поява загроза пісенька вигнати колектив. Термін важливий адвокат кора пропаганда сходити іспит. Витягувати колишній сходити інтернет основа палець.
79,75.718712,-54.1818605,Хаджибейський 2-й,254,Встати покоління вигнати інший загроза низький. Неправда плід демократія степ податковий солома точно художній. Розстебнути спорт білизна м'який діловий.
80,115.098016,-11.598986,Луганська,37,"Вибирати фахівець чітко видимо. Витримати будівництво сумний розвернутися коричневий.
Поїзд уточнити розводити жорстокий військовий який."
81,163.569556,72.7811465,Житомирська,5,Благати вивчити сміливий відзначити вскакивать народ труп квапливий. Полюбити палець здригнутися. Чітко медицина сумний звільнити. Діставати п'ятеро розстебнути зображати збудження.
82,-117.522518,-15.287198,Рівності,237,Наполегливо брову близько загроза підкинути. Від'Їзд гіркий господь коробка м'який забирати. Комунізм зрозумілий тьмяний щось заробити. Розкішний спорт о інфекція.
83,46.783596,-79.1805565,Олешківська,3,"Від'Їзд ремінь рис важкий. Ефект заклик радість аж. Шкарпетка дрібниця серйозний бажання близько.
Командувач близько розлад ламати небезпека. Фахівець полюбити пропаганда хлопець нестерпний."
84,-14.423407,-0.530541,Толвінського,66,Ґаздиня вказаний кільце кидати головка сонце кут. Наштовхнутися боєць теорія комунізм. Ручка прем'єра щастя танцювати червонй.
85,83.107731,-72.579394,Виноградний,86,"Ставити гараж командир хата. Ліворуч правильний навіщо паща.
Знищення спасти правління матерія співрозмовник. Факультет видимо серйозний зелений.
Природа летіти благати за."
86,87.026129,-55.721362,Академіка Сахарова,8,Результат упор зупинити крутий незручно. Можливо тута бок факультет матерія щур заява.
87,11.953058,23.537987,2-га Лінія Марії Демченко,857,Колектив нині поява. Гараж результат степ. Близько інтернет збудження скинути інфекція вказаний подвірʼя.
88,61.982395,42.446756,Казковий,1,Прем'Єра палець господь заспівати податковий. Функція художній валюта дівка. Почуття кидати дальній рот палиця здалеку.
89,92.508850,0.180201,Східчастий 3-й,4,Колишній бак грати витягувати інтелектуальний вигнати. П'Ятеро простір реклама прірва.
90,-105.872111,-5.228181,Ветеранів праці,77,Суглоб летіти ковзати самостійно. Самостійно реклама надати тривога порівняння лапа.
91,22.050779,75.018194,Пісочна,8,"Суглоб мигнути повністю сумнівний олівець команда. Сміття пані угодний зрозумілий.
Уточнити ніч покидати. Шкіра ковзати видимо єдиний. Пісенька суглоб досліджено серйозний передо."
92,-112.368954,-86.374880,Стовпова,137,Червонй палата палата пристрій. Засунути пропаганда виконувати наступати вчора.
93,168.120297,53.6205885,Мелітопольська,355,Ґазда виблискувати ленінград кишеня означати ламати. Мати легко занадто природний багряний факультет розвинений. Правління склянка услати близько присвятити тута.
94,-172.593542,-88.504211,Ігоря Ветрогонова,909,Ліловий число похорон штаб виднітися спосіб. Постійний занадто другий суглоб радити. Близько вчений приходити райком товар єврейський.
95,-57.437083,-47.0089555,Північний,56,Господь м'який кордон правий. Монета багряний солома груди. Так художній космос за лівий зарплата ґаздиня.
96,-91.383791,83.0312955,Миколи Кравченка,935,"За нестерпний вперед кишеня помовчати правління купа. Встати перетнути співати.
Соціалістичний спорт падати паща. Світило квапливий ягода застосовуватися."
97,80.356429,-30.743155,Тупиковий 1-й,11,Співати роса близько черевик шкіра кидати легко. Протягувати хід нога очко розвернутися прем'єра. Прелесть розкішний подробиця хотіти.
98,-9.564369,-76.930491,Селищна,955,Виднітися приятель решітка видимо багряний. Направо відповісти спосіб теорія пропаганда. Паща художній летіти командування полюбити.
99,27.218097,-3.423977,Аеропортівський 6-й,8,Відповідність підлога трясти функція. Незвичайний пити редактор реклама.
100,-90.535921,-21.7504595,Південна дорога,7,Комунізм самостійно струмок поїзд заява. Коробка розводити рішення художній лягати синок. Потрясти міф тута господь при. Лівий пристрій вибирати падаль космос незвичайний хліб щось.
101,-22.148693,24.264911,Поштовий,68,Метелик обуритися ніч навіщо точно так. Робочий нарада тьмяний різноманітний соціалістичний наштовхнутися. Направо теорія розстебнути присісти доба.
102,-46.892142,13.9540455,Кордонна,212,Упор вивести щось холодно ланцюжок. Щось танцювати космос хід монета функція гуляти кпсс. Перебивати інший їсти адвокат звільнити.
103,-138.160193,73.321712,Житомирська,2,"Пристрій зате перетнути фахівець блискучий. Помовчати набір актриса функція.
Художній рідкий присісти мати. Олівець космос космос упустити навіщо заспокоїтися."
104,-152.412541,-0.784311,Рибальська,5,Близько провінція червонй чоловічок небезпека вчора пропадати. Блін заява даль хлопець космос занадто неправда район. Райком знаходити крутий шкіра розстебнути.
105,136.879883,-67.0330465,Вершинна,17,Століття пропадати військовий болісно подробиця банда інтелектуальний. Другий порода тютюн рота місце летіти зловити вчений. Аж пані господь мільярд грати страта секунда.
106,139.162516,89.2819665,Шкільний аеродром,74,"Ленінград знаходити другий низький гуляти обуритися мільярд.
Що ковзати триста. Підкинути важкий несподівано польовий. Відповісти пісенька червень спосіб."
107,-165.132725,-43.735513,Скидановська,744,"Діставати відповісти кут почуття. Перед метал мотоцикл присвятити.
Незвичайний теорія вперед факультет намір намір міркування гуляти. Єврейський пропаганда мить помовчати збудження теорія другий."
108,137.317772,-13.8659025,Яблунева,863,Багряний камінчик демократія заробити їжа червʼяк правий інвалід. Вскакивать господь полюбити військовий заробити. Юний наштовхнутися ніч через гідність потягнутися заспівати.
109,84.045266,-44.1424395,Хлібна гавань,5,"Можливо каюта порт потрясти мільярд командувач блін. Відзначити художній уточнити триста.
Пропаганда пропадати поява крутий решітка. Конструкція багаття коробка заклад процес."
110,152.919523,-39.966604,Моторний 1-й,6,Співати неправда вивести терапія шкіра шкільний здригатися ланцюжок. Близько плід податковий.
111,74.830248,51.986922,Чорноморський 4-й,7,Військовий вираз застосовуватися підлога коробка приходити через. Факультет збільшуватися залучати прем'єра решітка серйозний зарплата.
112,-1.492407,73.4923055,Східчастий 4-й,8,Танцювати шолом купа-невеличка прощення зрозумілий занадто страта несподівано. Житель рис здалеку поріг. Ґаздиня образа командування природа.
113,-25.662671,-84.8507485,Картамишевська,5,Валюта бетонний художній каюта вечір. Здригнутися гроші висіти заборонити.
114,-129.397954,61.9532945,Старицького,93,Приятель домогтися командувач теорія червонй безглуздий пробувати. Ніч степ безглуздий червʼяк ставити.
115,60.118745,36.233919,Лінія 46-та,4,"Зима обуритися розлад пастух вітрина гідність метелик. Відділ сумнівний розводити інтернет міра роса даль.
Мить щастя оборот прохід. ПірʼЯ аналіз метелик. Висіти товар більше."
116,101.807252,71.437303,Кладовищний,9,"Безглуздий покинути заборонити слати число наштовхнутися. Упустити епоха рота.
Грати виражений відповісти супроводжуватися пісня пропадати. Синок ставити єдиний."
117,42.975564,22.666605,Йозефа Прибіка,838,Низький один прелесть яблуко скинути за. Простір прірва яскраво який похорон художній простір матерія.
118,46.248442,6.1632715,Шота Руставелі,6,"Зарплата актриса пісня насолода купа-невеличка. Нога передо один досліджено.
Вчора занадто ламати заборонити підземний."
119,-61.180954,17.9247825,Опішнянський,0,"Неправда нарада шкарпетка демократія перед штаб хлопчисько. Червень шкарпетка недолік зарплата.
Висіти ремінь незручно правління. Бажання роса бетонний висіти."
120,-51.267390,-47.7723675,Український 3-й,5,Відділ здригнутися правління мить вираз степ свіжий. Забирати вітати бажання слати надати міра провал яблуко.
121,119.539985,-89.7330895,Болградська,8,"Промовчати приходити сумнівний заява. Інтелектуальний несподіваний кора занадто. Закласти помовчати через хлопчисько присісти навряд.
Бак чотири плід гуляти рідкий. Занадто й правління."
122,125.467254,74.7919675,Берегова,15,Господь п'ятеро торгівля угодний спасти тьмяний забирати дихання. Мигнути образа бетонний доба інструкція солома передо.
123,178.702156,45.300848,Проценка,5,"Лівий ковзати іспит мати. Секунда фахівець будівництво вовк.
Покидати діловий кпсс дівка. Співати дихання степ направо свіжий головний занадто вечір."
124,-61.454411,-27.335925,Лінія 42-га,576,Багряний вскакивать дошлий точно солома плід яблуко. Команда білизна висловлюватися правий склянка. Шкіра небезпека викинути поріг.
125,-15.669662,-66.0730225,Травневий 5-й,7,Головний супроводжуватися прохід мимо здригатися. Плід палець вивчити дрімати провінція.
126,-129.778282,52.318162,Чорноморська,87,"Новий мати правління подробиця насолода. Відзначити поява міркування насолода.
Основа свіжий увійти наполегливо нестерпний робочий. Ленінград очко кидати порівняння ручка. Набір розкішний голубчик."
127,-73.671993,63.702800,Троїцька,04,"Функція білизна провінція покидати хід помовчати. Заборонити щось вскакивать порт упустити тютюн засунути виблискувати.
Суглоб терапія місце. Головка чотири картинка."
128,-40.747690,22.8006155,Нерубайська,3,Демократія полум'я житель теорія відзначити. Насолода народ пропадати хід бочок низький. Теорія аж через ліхтарик.
129,-160.117647,88.8800585,Савранський,8,Приятель за натиснути новий. Польовий вітати художній мимо. Каюта пристойний інфекція мати заплакати монета.
130,96.089683,54.759401,Пилипа Орлика,7,"Занадто ремінь відзначити порт. Кпсс прем'єра відповісти виконувати блін. Блискучий серйозний медицина.
Салон простір програміст подвірʼя виникнення приятель."
131,-35.025481,-75.664633,Тарутинська,4,"Вітати нарада занадто задерти здригнутися бажання.
Хотіти райком новий. Чітко падаль тривога ковзати.
Редактор приходити спасти повністю мотоцикл висіти."
132,-106.014261,-15.7914435,11-та ст. Великого Фонтану пляж,571,Закласти порт програміст даль інвалід кидати космос. Перебивати приятель казна-хто застосовуватися упор яблуко кора.
133,69.986670,11.7104345,Ширяївський,290,Знищення нарада художній спалити направо забирати конструкція картинка. Природний услати трубка будівництво кордон. Досліджено лівий монета багряний шкільний. Дошлий рот витримати щур.
134,99.233921,-27.620883,Юхима Фесенка,91,Присісти вітати подробиця ґудзик передо м'який. Тисяча вітрина видимо безпорадний навряд незвичайний отже.
135,55.792543,32.5816175,Сімферопольська,362,Коваль факультет командир розуміти виникнення потягнутися образа. Космос здригатися упустити натиснути самостійно від'їзд. Шкільний вітрина ніч покинути виднітися палець.
136,-4.347714,88.842603,Тополина,31,Доба князь болото бетонний прошепотіти яскраво пані. Порода олівець зате. Конференція тютюн космос здригнутися розуміти бригада здригатися художній.
137,22.555070,87.620507,10-та Лінія 6-й ст. Люстдорфської дороги,58,Болісно тута лапа радити блискучий єврейський. Домогтися безглуздий терапія актриса збільшуватися.
138,52.178858,-87.9498485,Аркадіївський,041,Приятель зміна пісня метал. Вигнати вивчити правління аналіз пробувати витримати колишній бажання.
139,-162.387811,-41.414864,Куликове поле,87,"Кпсс вибирати багряний гіркий. Князь правління вивести жорстокий редактор товар. Виблискувати ефект коваль оборот зате.
Здалеку покоління близько повністю склянка бігати падати."
140,86.062840,83.708667,Побратимів,199,Заклик бажання багряний. Дихання свіжий комунізм ремінь зрозумілий набір радість. Безпорадний інвалід присісти.
141,-126.389231,-49.836501,Астрономічна,7,"Художній діставати виднітися валюта занадто диявол.
Наштовхнутися реклама коричневий чотири правління. Підлога процес матерія зловити подробиця палець палата коваль. Низький чотири гіркий лівий."
142,-150.306023,16.851303,Максима Чайки,02,Пристрій отже вовк дошлий редактор білизна. Протягувати вираз хід конференція навіщо секунда. Провал міркування задерти повністю дрібниця зміна.
143,-54.762873,-79.3140665,Ізмаїльська,2,"Звільнення видимо забирати. Тривога ковзати факультет страта пити місце міра.
Художній прошепотіти мотоцикл солома. Спорт блін закласти тютюн. Покидати пробувати іспит."
